Variable name,Unit,Description (EN),Size,Type,Default value,Minimum value,Maximum value,,Package,Inherit,Methods,Constant Name,Constant Value,Class description
rotor,,Machine's Rotor,,LamSlotWind,,,,,Machine,MachineSync,check,VERSION,1,Wound Rotor Synchronous Generator
stator,,Machine's Stator,,LamSlotWind,,,,,,,get_machine_type,,,
Kva,,Power output in Kilo Volt/Amperes,float,,0,,,,,,,,,
Vout,,Machines output Voltage,float,,0,,,,,,,,,
Ns,,Synchronous Speed of the Rotor,int,,0,,,,,,,,,
frequency,,Output Frequency of the Generator,int,,0,,,,,,,,,
Bav,,Initial Flux density,float,,0,,,,,,,,,
pf,,Power factor,float,,0,,,,,,,,,
